Game,Reviewer,Completeness,Aesthetics,Fun,Innovation,Scope,Roguelike,Full Review
DuneRL,Anonymous,"2 The game is there, but it hasn't been tested. Building from source is broken on Linux, and the game seems inadequate in telling you what to do","2 The basic height-varying map mechanic works nicely. Not cluttered with unnecessary commands, but the commands there are aren't very discoverable without reading the readme.","2 It does have nice bits with the survival angle (you're as likely as not to be chasing down edible critters as facing foes in combat) and the terrain. On the other hand, seems incomplete and does basically nothing to clue you in on what you should be trying to accomplish.","3 A well-implemented heightmapped terrain system that works both visually and mechanically, and an unusual, but setting-appropriate gameplay for the not that often seen SF setting. Looks promising.",2 The heightmapped survival game is pretty well in 7DRL scope,"3 I think the map is fixed, though probably still procedurally generated, so that should be just a matter of seeding the RNG. Otherwise, turn-based single-mode single-character resource management avatar game with permadeath.","A game based on the Dune novels. Building from source on Linux didn't even start to work, until the cabal did some makefile doctoring and emergency bugfixing. (It's easy enough to test linux stuff with a live-CD folks.) Game itself has a nice premise. You're Duke Leto Atreides, and you need to find your way back to your house base from being stranded on Dune. Only problem with this is that there's a lot of directions the house base could be in in the wide open 2D desert, and you don't seem to have any idea which way to go. Fortunately, folk at House Atreides don't seem to balk at killing and eating other humans for the delicious hydration in their bodies. There are even some Atreides countrymen wandering around the desert, and there seems to be nothing to do with them other than kill them and eat their corpses. That's useful enough, but I would have liked some directions towards the base as well."
Waaghammer,Anonymous,"3 - Seems feature complete, balance is pretty good, all the enemies have unique flavor texts.","2 - Functional Ascii graphics, the controls are a little nethacky, but functional.",2 - Fun but a bit frustrating as death happens quickly and recovery items are rare in the early game. Would be nice to see some of mid-game features pull forward a bit.,"1 - Nothing particularly new, using a Warhammer skin is neat though",2 - On par for a 7DRL. ,"3 - All the standard RL features are present, procedural generation, permadeath, inventory management, allies and turn-based movement","This game feels a bit like a Warhammer themed brogue variant. It plays well and has a decent amount of content for a 7DRL. Combat is pretty lethal early on and managing allies can be a bit fiddling and time consuming. I'd be interesting to see this game expanded in the ally combat dimension, where you could have dozens of orks under your control."
2149RL,Anonymous,1 - More of a tech demo (or 'toy' in the author's words) than a game,2 - Hand-drawn art is a nice look. Always moving the targeting reticle is annoying.. defaulting to the nearest enemy would be an easy fix.,1 - Good to see something on Android but not really a game. ,"1 - Not really enough gameplay content to judge this category. +0.5 for being on Android, but this counts as technical innovation and not gameplay innovation.","1 - Excellent effort for a new platform, but not enough here to justify a 2. Would love to see more. Android seems to have an obvious roguelike hole to fill.","2 - Would give this a 3 but not enough gameplay to truely determine roguelikeness. However, what is there is clearly a roguelike, so far.","Android has an obvious roguelike hole to fill, but this game is not ready to fill it yet. An excellent proof of concept that such games can (and SHOULD) be made, though! The hand-drawn look is very unique and especially easy on the eyes. But in the authors own words, this was more of a toy than a game. More please!"
Drakefire Chasm,Anonymous,3 - Fully complete. Polished. Nice use of libtcod without going overboard.,"2 - Pleasing to look at. Looks like a libtcod roguelike, but not over-done. Nice lighting effects on mage/priest spell attacks, and dragon-fire. Could use slightly more varied terrain, even just slightly different/varying colors for walls. I dig the re-use of archetypical nethack/rogue character codes (e.g. D, @).",3 - Good solid fun. Recommended to all roguelike fans. Some built-in humor playing as a 'D'ragon when the @-signs show up.,"2 - Nothing crazy in terms of new roguelike gameplay elements, but excellent integration of abilities w/ cooldowns. Reversal of theme is innovative as well.",3 - Would've given a 2 until I got to explore the entire depth of the ability tree. Very well done without being overwhelming. Shades of borderlands (in a good way).,3 - Definitely a roguelike.,"Play as a dragon growing from a young wyrmling to powerful Great Wyrm. Surprisingly deep abilities tree makes every new level fun and often tactically different. Corpses as a combination of health & level completeness is also a very interesting mechanic that is done very well, and should be explored further. Enemies surprisingly varied with well-animated magical attacks, class abilities (rogues will disappear and pop out to stab you), and even some humor ('the Paladin judges you'). Occasional 'arena' levels are a challenge, especially in the late game, terrain could use some more color but what do you expect from a lava chasm? Breathing fire and biting entire enemies is very satisfying and brings across the feeling of being a dragon very well."
The Death of Juga t'Dy,Anonymous,"3 - Pretty polished and stable, nice amounts of content",3 - Nice choice of colors and UI design. Keybindings sensible,"2 - Turn battles can get a bit tedious, but interesting skills spice them up. Maps are big and dull. Corridor battles are very unfun","2 - Team tactics on a roguelike is tried from time to time. This one is item-less, with a simplified recruiting system and focuses on gaining skills.","2 - Went all the way for the tactics combat, neglecting a more interesting environment generation","3 - Is got most of the High Valued Components plus a strong ""monsters are players""",Dungeon diving recruiting enemies on the way and fighting turn based battles ala final fantasy tactics. Pretty polished and with a decent amount of monsters and skills. Maps are a bit huge and dull.
Wyrm,Anonymous,"2 - Missing a great deal of polish, development continued post 7DRL",2 - Keybindings are simple and clear. Not very pleasing to the eye,"1 - Too easy once you get the hang of it, no challenge",2 - Your body grows as you eat enemies. All enemies move according to a pattern,1 - Got some mobs running on a single screen and the player eating them with single hits,1 - More of a puzzle game,You are a wyrm moving around a single screen eating all enemies before they kill you. You keep growing as you kill enemies not unlike a cellphone snake.
SUN CRUSHER!!!,Anonymous,3 - Seems feature complete and balanced,"2 - Controls smoothly, nice graphics, though they are a bit cut and paste-y","1 - The game is basically a puzzle shooter, it's not bad in its current incarnation, but it's pretty repeative. It definitely could use some variablity.",1 - Nothing too unique about a turn based puzzle shooter. More variablity would help.,2 - Seems about right for a 7DRL entry,1 - Definitely a puzzle game with random layouts,"You move a ship around with a number of turns and take potshots at enemy ships that shoot back and consume your shields. Not a bad game in its current form, but not really a roguelike and it could definitely use some more content."
Equal in Death,Anonymous,"2 - No glaring bugs, but lacking polish. Movement is awkward, balance seems to need some work.","1 - I'm not a fan of the reflex meter, it eliminates all of the ""plan and move"" aspects of a roguelike. That might wore in a full real-time RL, but in a semi-RT RL it is just odd. Graphics are functional, but controls need work, but that's more of TOME's fault than this games.","1 - Currently, this game is just frustrating to play. Cleaning up the controls a bit and reworking the reflex timer would help a lot.","3 - Hex based, semi-real time, significant social aspects, the developer aimed high, but bit off a bit more than he could chew.",2 - Big aspirations turned into a fairly average success as far as implemented features goes.,"2 - No significant procedurally generation that I could see, but most of the other RL traits are present.","Probably the game that aimed highest that I've play so far this cycle. You go into the arena and get your ass handed to you unless you mash the 1/2 keys like mad and pray that your enemy is distracted. The developer introduce real time elements that reward you for acting quickly, but mostly they punish you for not button mashing. A good start for a game, with some polishing this might turn out to be a gem."
Fragile Wrath,Anonymous,3 A full playable game with complete features and mechanics,3 Functional graphics and an efficient control scheme without extra bits. The combo interface is particularly nice.,"3 Much fun, the basic mechanic is interesting and graspable very quickly. Don't know how far it would go, but definitely works in a coffeebreak game scope.","2 A unique single-hitpoint PC mechanic, though beyond that it's just beating up demons.",2 Spot on for 7drl.,3 It's a roguelike. With a bit squishier player character than usual.,"The gimmick here is that you need to fight a bunch of demons with some superpowers, but are a regular squishy human (or equivalent) otherwise, and can't take even a single hit without dying. Good thing the demons freeze for a bit when you punch them. So you can fight single opponents easily, but if you get surrounded, you can't freeze-juggle everyone and are dead. You can move around the arena rooms and use strike combos to get by. The combo interface is neat, you use the directional keys to choose a context-appropriate combo move."
Infiniverse,Anonymous,"2 Great basic procedural universe, but there's not much goal for the player.","3 Excellent realization of the procedural universe, both visually and functionally. Key bindings work well, with a smooth navigation from galactic level to planetary surface.","2 Exploring planets is visually nice, but there's not much to actually do.","2 Quite different for roguelikes, but doesn't do much Starflight didn't already do 25 years ago.","3 Implementing the entire galaxy is, well, perhaps a bit over the scope for 7DRL.","2 The basic feel is there, but the wild scale shifts are rather un-roguelike, and there's not that much indication yet how tactical gameplay would work into these.","A procedural space exploration game, with really excellent visuals and controls, but also succumbing to the perennial problem of procedural space exploration games that there's not that much to do beyond looking at the pretty simplex noise planets, and given that there's a whole galaxy to play with, it might not be that easy to come up with meaningful gameplay involving all of it either."
Zaga-33,Anonymous,3 Complete game,3 Very stylish retro-8-bit graphics and sound. Interface is very intuitive.,"3 Lots of fun, straightforward tactical gameplay with lots of pattern learning opportunities.","2 Great aesthetic for a coffeebreak game, and doesn't devolve into cliches, but nothing really ground-breaking either.",2 Just right for a 7DRL,"3 It looks unconventional, but definitely roguelike.","An infinite dive game with the look and feel of a slightly surreal 8-bit game. Combat is deterministic, and the enemies have rigid movement patterns. There's an identification game combined with pattern prediction, and you're basically just trying to get through each room alive."
TrapRL,Anonymous,3 Seems pretty full-featured,"2 Visuals ok, but the interface is a bit clumsy. Healing wounds seems unnecessarily involved.","2 Didn't quite figure this out yet, the traditional RL surprise traps don't lend themselves to a very interesting gameplay, though the animated blades and such were new.","2 Making a game entirely around surviving traps is an interesting concept, and there are some neat turn-based animated traps that you need to synchronize with that haven't been seen much in RLs.",2 Just right for a 7DRL,3 It's a roguelike.,"A game set entirely around surviving a complex full of traps. An interesting concept, but I didn't quite figure out how it's supposed to work, as a lot of the traps were still of the boring staple of ""Surprise! Have 2d6 points of damage!"" sort, and it's not really obvious what the interesting player decisions that would lead to avoiding those are. Also seems somewhat buggy, on the first playthrough the pusher tiles in front of the complex entrance appeared in a configuration that never let me enter."
Cave Chop,Anonymous,"2 - Throwing flasks gives internal error. Having armor/weapon break or changing body armor causes ""gaining resistance"" debug message to be output.",3 - Good choice of colors although items on ground could use some distinction. Keys very neat. Actions display only eligible items.,"3 - Martin's Dungeon Bash was fun thing and so is this. However, lava walking has swung balance a little too much in player's favor.",1 - The only rare thing to see is lava walking but it has been done too.,1 - Cave chop was a backup plan anyway. Changes from MPRDB are minimal.,3 - 100% roguelikeness.,"Essentially a mod of Martin's Dungeon Bash. New things include cave area instead of a maze of rooms, unusable flasks and some new items. If you liked MPRDB Cave Chop is fun too."
Escape from the Vault,Anonymous,2 - Ladders seem to not always be generated making the game unwinnable.,3 - Nice looking tiles and animated monsters. Keys sensible for most part and good help screen.,2 - Lots of interesting things to do but inability to win prevents me from rating it higher.,1 - All stuff is standard.,3 - There are so many things to do it is almost unbelieveable to be done in seven days.,3 - Yes.,Standard hack and slash in modern era. There are only two types of monsters to fight but repertoire of items is very large. Overall quite fun game.
Hope,Anonymous,1 - Rarely crashes with critical error. There are numerous cases when player is exposed to IDENTIFIERS_LOOKING_LIKE_THIS_ONE.,2 - No idea why one needs to switch action assigned to Z and X. Kebindings seem to be made without reason.,1 - Lack of a goal or a sense of progress makes playing this a dull experience.,3 - Shifting between worlds is something totally new and has been nicely fleshed out.,2 - A lot of art was prepared but everything else suffered.,2 - Lacks many roguelike elements.,Strange game. You play several characters and switch control between them every once a while. There might be a goal or a message in the game but I did not bear the dull gameplay for long enough to get it.
Equal in Death,Anonymous,"1 - Lua errors on every corner, victory condition improperly implemented. House names disagree in few places.",2 - Picking up a weapon is a talent! Who would guess.,2 - Battle outcome depends much more on character skill and stats than on moves taken by player.,2 - Skipping a turn to increase chances of hitting temporarily is not something one sees often.,2 - About right for a 7DRL.,3 - One on one combat is uncommon but fully roguelike.,As a gladiator you will fight two types of matches. Grudge is standard duel. Discovery is about killing your opponent or breaking jars to find a hidden gem in one of them. A jar might also contain a weapon or angry creature that will fight you. Winning several matches earns you freedom.
The Challenge!,Anonymous,3 - Wrong indefinite article for picking up emacs.,3 - Looks fine but could use a few more colors here and there. Keys easy to master.,3 - I am biased but I found this simple hack and slash very fun because of theme.,1 - Only the theme is unique.,2 - This begs for extension.,3 - No doubt.,"What kind of programmer has the best chances to complete 7DRL Challenge? According to this game he is outrageously lazy, furiously impatient and full of hubris. Fix bugs, segmentation faults, memory leaks and take care of exceptions. Be very wary of family affairs. Oh, the idea that emacs is better editor than vi is HERESY!!! You hear me?! HERESY!"
Shadow Rogue,Anonymous,"1 - Occassional random assertion failure, locks up after death. Sight artifacts. Does not tell you 'talk to whom' has to be answered by mouse click.",2 - Keys well chosen and great looks but no help screen. I had to read the source for keybindings. ,3 - There are three distinct playstyles and all works really well.,"3 - Guards whom you have convinced of your innocence help you fast talk other guards. Similarly, hostile guards attempt to thwart you attempts at pacifyin others.",2 - Could use more balancing and better user interface.,3 - Yeah.,"Somewhere on a map is an item to pick up. Find it and get back to starting point. You have to deal with guards somehow By force, by stealth or by fast talking your way through. Usually a combination of all three is most successful."
AppRogue,Anonymous,"1 Lacks some polishing. The message log can overflow the game window. It took me a while to understand that you cannot actually move inside a room, just teleport from one room to another. Some times I get a blank screen after a move.",1 huge characters with flashy and primary colors,"1 I've been really annoyed by the weird interface, game rules and even the creatures names (a cat-dog and a cthulu?)","2 really tries to bring some new feats, but for me they really don't work","1 basically, there's map generation and click to attack","3 despite some really strange feats, it's a true roguelike","a very basic roguelike with an awkward interface and a strange requirement to log with a google account. Weird game mechanisms too. For example, you're tired as soon as you hit a creature once. Also the map seems non-euclidean. For example you can go from room 1 to room 2 going north. Then going west from room 2 brings you back in room 1."
Emet,Anonymous,3 no special issue playing the game through ssh,2 effort has been made to avoid the default palette. uses standard roguelike keys,2 classic dungeon dweller with attack on bump and some innovative powerup system,2 grabbing powerups making it possible to alter yourself. Also playing as a golem is new,2 good ideas but require more work,3 classic roguelike,"A classic roguelike you can play in a terminal. There are the bases of an interesting powerup system where alter yourself by using powerups dropped by enemies, but it's still at the very early stage"
Escape from the Vault,Anonymous,"2 - Great job of reutilizing the already mighty EUO engine, didn't have the time to polish some rough edges and thus make a complete transformation. Game-wise you can play a complete game here","2 - Excellent old school look, somewhat complex old school keybindings :) Music gets annoying after a while.","3 - Classic roguelike fun, very much worth your time to play!",2 - Rage bar,3 - A whole game reutilizing an existing engine,3 - A great example of shaping a roguelike from a non-roguelike engine,"Well, you should check out EUO if you don't know it. This game was derived from the EUO engine, changed to fit the theme and the gameplay mechanics while keeping its solidity and eye candy. Protip: Use 'M' to turn off the music, it's funny but gets annoying after a time. There are 3 races and 3 classes, each one with unique features."
Infiniverse,Anonymous,"3 - Very impressive piece of software, an infinite universe in which you can zoom in an out from galaxies to planets with randomly generated landscape, all running in your web browser. Also a target based ranged combat system.","3 - Great unicode look powered by colors, in-game help takes you along. Keyset is small and comprehensive",1 - Not much to do apart from roaming the universe looking for things to sell and then hoping to reach a space station.,1 - I am sure this has been tried before (although this execution is excellent). Plus it's not very roguelike,3 - He created an universe albeit a bit empty,1 - Not a roguelike but rather a turn based single played space trading game. Has randomly generated maps and limited tactical combat tho.,"This one lets you have an universe in your browser, very elegant implementation and may be the basis for a great game with multiple facets apart from trading. Right now there's a game here you might want to master, but it's all about patience and luck."
Cogmind,Anonymous,2 - It is well polished but getting this to run was a major pain.,3 - Controls for dealing with module installation are awkward but good looks and weapon animations make up for it.,2 - Not enough feedback in combat. I am rarely not sure whether a robot was hit and if yes did it receive damage. It is a bit hard to guess what kind of damage weapons do.,3 - It follows in the steps of Scrap but takes it much further. Multiple systems of one type can be effectively used.,3 - There is great amount of modules to try swapping in and out. Design well thought out.,3 - Fully roguelike.,"If you played Scrap the game will look very familiar. You are robot with ability to replace your own parts. This is very interesting mix and match. However, your modules can be destroyed and often are. A downside is battles tend to take too long because of long streaks of misses and uninterruptible animations."
AppRogue,Anonymous,1 - Very basic engine setup with little playability,2 - Looks nice. User interaction model is pretty confusing,"1 - Unbalanced combat, about 5 rooms to  ""Explore"", no character advancement",1 - Room based movement has been explored. Web deployment has been done as well.,"1 - Walk on the map (room based), no procedural generation, no variety.",1 - More like a Telengard-like (at least aiming to be),"An experiment on a room based web deployed game. Requires a lot more of development to become playable. You can give it a try online, click the exits or the enemies to attack"
HyperRogue II,Anonymous,"2 - Very polished look and feel, missing enough depth of gameplay to warrant a 3.",3 - A pleasure to look at and control. The way the screen jumps to follow the @ is amazing.,"2 - Totally fun to play and look at (even if you aren't playing), but missing enough content to make it a full replayable game.",3 - Have rarely seen a hex map done as well as this. Parabolic world is also very innovative and worth exploration by other games.,2 - About what I'd expect from a 7drl. A unique concept executed tightly and with decent polish.,3 - Definitely a roguelike.,A unique experimental roguelike with lots of potential. Visuals are very hard to describe and definitely worth checking out! Player travels through a parabolic world on a hex map that is constantly curving away from the player in all directions. Player must avoid obstacles and destroy enemies without getting stuck -- the game has a nice 'check mate' feature that will prevent you from making ill-fated moves. Not a ton of depth but visually very impressive.
Beyond the Light,Anonymous,"3 - Small, complete game","2 - Nice looking and easy to play, gets really messed up when you are insane (messages get their letters scrambled), would have been nicer to show insanity in some other, less annoying way :) Also has some ambient ""terror"" sounds but I am inmune to that so I don't know how well it works",2 - There's a game here,"2 - Some enemies damage your insanity instead of health, being in the dark also makes you go nuts",2 - About what I'd expect from a 7drl. A unique concept executed tightly and with decent polish.,3 - Definitely a roguelike.,A small game about you escaping a terror house without losing your mind. Nice done although a bit shallow. Has plans for extending it in the future.
Mont Asall,Anonymous,3 - Works very smoothly. Looks very polished.,"2 - Looks very nice, very JRPG-type graphics. However, -1 for combat controls, having to 'pass' each turn when you have run out of actions becomes very tedious. ",2 - Will not be everyone's cup of tea but has a seemingly deep combat game/RPG going on.,"1 - Hard to tell for this game. In order to innovate, there needs to a 'base' ""roguelike-ishness"" to start from and innovate on, which this game does not have. (unless you count perma-death)","3 - Graphics/text/polish in the title sequence(s) alone seem more than is possible for a 7DRL, well done.","1 - Definitely not a roguelike. (Unless you count permadeath, but in which case make the characters way easier/shorter to set up please!)","A very polished-looking JRPG-type game with interesting tactical combat. Not really a roguelike except for permadeath, which is not really enough to count! Will likely find plenty of fans among lovers of the genre. Certainly has enough polish to make a roguelike in the same setting/engine potentially interesting."
Das Schurke Boot,Anonymous,"1 - Basic engine running, missing critical features","2 - Nothing exciting on the display side of things, side views for x and y are nice but since they aren't adding to gameplay they are just taking over a huge chunk of screen. Keys are pretty simple and straightforward","1 - Right now there's no challenge thus no fun experience, you can run around forever shooting myriads of torpedoes and nothing will stop you","1 - Depth. Also, not many submarine roguelikes out there. But fails to use depth as a gameplay element so...",2 - If only it had been more complete it would have been a standard 7DRL scope,"1 - Not a roguelike, irrelevant terrain generation (if any), lack of tactical combat, no items/powerups/skills. More of a puzzle game in its current shape","You are a submarine deployed on the sea, you have to destroy ships by launching torpedoes at them. You can five into the sea and climb back (but it's not very useful). Ships dont seek or attack you so there's little danger. More of a tech demo right now"
Turambar,Anonymous,2 - Runs and is seemingly stable. No polish. ,"1 - Extremely frustrating to start.. would not run without going through the entire title sequence, which slowly shows the title of the game over the course of ~90 seconds, and is (apparently?) unskippable. Colors are monochrome, which is not a negative mark. Controls seem solid and do what you'd expect, once you get to the game!","1 - I did not have any fun playing this one, sadly. (died in my first combat every time, after waiting through the entire start screen)",1 - Seemingly standard hack+slash combat.,"2 - Hard to judge because it is so difficult to get beyond 1 enemy, but has the benefit of the doubt due to the seeming depth of the item/weapon/equipment",3 - Definitely a roguelike,A hard core (read: impossible) monochromatic hack and slash roguelike. Extremely difficult so hard to judge how deep the gameplay gets. Intro screen takes way way way way too long and is apparently unskippable. Lack of any in-game or out-of-game help.
Smooth Rogue,Anonymous,"2 - Stable, runs in unity. Lacks a bit of polish.",2 - With 3D it is easy for things to get obnoxious very quick but this game does a good job of presenting the dungeon and units. Controls do what you'd expect.,2- A very interesting concept. The stop/start nature of enemy movement (game time only moves when you move) is worth exploration. Leading a pack of enemies over a series of spikes is very gratifying.,"3 - A neat twist on the usual mechanics. Semi-real-time game click only ticks forward when the player moves or attacks. Real-time movement also allows for momentum-based attacks, which is fun.",2 - A solid 7DRL.,"2 - Semi-real-time so not a ""pure"" roguelike in my book but certainly a roguelike-like! (Note that this is not a bad thing, hence the increased innovation score)","A fun little 3D dungeon-slasher done in Unity. Game runs in semi-real-time, so enemies only move when the player moves or attacks, which can lead to some interesting tactics and some tricky situations. Not a ton of depth here, game-wise, but the core mechanic is fun and worth checking out. (Also the momentum-based attacks are lots of fun)"
Fragile Wrath,Anonymous,3 - Super-polished. Title sequence alone makes most games look like a pile of garbage.,"3 - Lots of elegantly-done blood violence is very nice to look at. Very pleasing to play, controls are not 100% what I'd expect (space to rest) but there is in-game help.",3 - Lots of fun to wail on bad guys. 1 HP mechanic makes you really consider every tiny move on a tactical level. (This is a good thing),2 - Was not able to explore the 'powers' in a lot of detail but the game does do some interesting things well in terms of forcing the player into making tactical decisions at almost every turn.,2 - A solid 7DRL.,3 - Definitely a roguelike.,A very nice-looking game that forces the player to make hard tactical decisions at almost every turn (due to the fact that you only have 1 HP). Intro sequence alone makes the game worth playing. Was not able to explore the powers... game is very difficult even in the first few fights. 
Life of Sir Pointsalot,Anonymous,"1 - Misses many critical features, enemies don't move and are not removed from the map when they die. They also die mysteriously. ","2 - Nice looking, keybindings take a little to get used to but are ok.","1 - Not yet, enemies just stand there and you've got nothing to do but roam the empty forest.",1 - Nothing new,"2 - Instead of going for an enjoyable game, the dev went for the foundations of an engine.",3 - I guess enemies where supposed to chase you around. It's got random terrain and an inventory system among some other roguelike elements,"Not much of a game currently, the dev seems to have made the foundations for a roguelike engine during those 7 days. Enemies don't move and there are no cool features. Good luck to the dev with future developments."
Locks,Anonymous,"2 Pretty good, but lacks a bit polish in vital stuff like moving the PC.","3 Makes good use of the Oryx tiles, mouse interface. Look is polished. Feels a bit like a turn-based Diablo or Realm of the Mad God.","2 The look is neat, but gameplay is a bit samey shooting of the unusually ranged-combat-capable birds and snakes.",1 Pretty standard dungeon crawl.,"2 Pretty much in 7DRL scope, though effort seems more focused on visual style than novel gameplay.",3 It's a roguelike,"A mouse-controlled graphical game, where your main attack is shooting at things. The basis looks nice, and the control gives it a Diablo-like feel. Unfortunately there's no way to do continuous walking, either by leaning on keys or by keeping the mouse button pressed. This makes moving around the large dungeon unnecessarily clumsy, and since avatar movement is a pretty big deal in roguelikes, this is currently a problem. Would be pretty easy to fix though."
JaggedRL,Anonymous,3 It seems to be doing what it tries to do.,"2 The interface is pretty simple, but not really like either a roguelike or a Jagged Alliance game. The menu graphics are good, but the levels are very, very plain.","2 There's a basic game there, but the controls seem a bit too simplistic. Squad game maneuvers like popping in a doorway to shoot into a room and going back into cover are hard to pull off without getting shot. The game experience feels like a very simple real-time strategy game more than a roguelike.","2 It's trying to do squad-based, which is always interesting.",2 It goes for a bunch of stuff but mostly sticks to the straightforward single missions.,"2 Not quite there. The world model is roguelike, but the gameplay feel when you give indirect orders to multiple characters is quite different.","A game based on the Jagged Alliance games, but one that doesn't really play like either a roguelike or a JA game, but instead resembles a real-time strategy game. You give the characters orders like a place to travel to, and they do their own stuff until finished, at which point you get back to giving them orders. Didn't really get a good command flow going with this, guiding the guys felt clumsy both when moving the squads around (can't rect-select multiple guys) and in close combat, where the system was too simplistic for the JA style maneuvers like going prone or doing shoot-and-run moves."
Professional Sword Tester the Roguelike,Anonymous,3 - The only problem is monsters spawning near stairs which may cause an instakill. Otherwise very polished. Very instructive readme file.,3 - Controls are old good NetHack style. Commands using weapon slots are cleverly done. Bland looks though.,3 - Clear rules make picking the dream set of weapons a tough choice. Each combat is fun puzzle of finding a weakness and exploiting it. Polymorph is neat too. Every death teaches something.,3 - There are some very clever mechanics. Weapon power varies due to numerous factors. Crystal spear is most useful in tight corridors while boomerang in open spaces. There are many more.,"3 - Nine levels, a bunch of weapons and monsters with varying qualities. Three level generation algorithms. Each promotes different weapons and requires alteration of tactics. Most surprisingly all the mess is well balanced.",3 - Roguelike all the way.,Sword testing is a dangerous job. The goal is to find good weapon to off an Ancient Dragon. What if you do not find such a weapon? Prepare to become the reptile's another meal. You can check what properties a given weapon has and need to decide whether you want to carry it further. Monsters have their own abilities too. If you desire one very much you can polymorph into a creature after defeating it. To be successful you should read readme file and carefully think about interaction of rules. After you get it the game becomes almost too easy.
HyperRogue II,Anonymous,"3 - Large world, no bugs encountered.",3 - Despite seven directions it is easy to navigate. Stunningly beautiful.,3 - I had great fun exploring this world. Every area has something interesting to it.,3 - For the topology alone. There are other twists in Hyperbolic Rogue.,2 - About right because it builds up on previous version.,3 - There are temporary buff instead of items. No other strays from roguelikeness.,"Play this thing. So awesome ... I recommend to visit the Alchemist Lab with its two color rules, Desert with sand worms and spice, raid shifting Living Caves for gold, see the Jungle and battle Ivy ... Just go anywhere and you likely will have fun."
Kaiju Roguelike,Anonymous,2 - Polished but could really use more features.,3 - Minimal controls and nice tiles.,2 - I crush teh buildings! RAWR!,"2 - Okay, I do not reacall any working roguelike about being giant monster wrecking cities.",1 - Not much really.,1 - Lacks most of profoundly roguelike features.,Play a giant monster stomps on buildings. Underneath there may be a tank producing factory. As the city is approaching complete destruction more and more tanks chase you. Fun but short.
Nightfall,Anonymous,"3 - Polished, feature completed, balanced enough that I didn't win on my first try, but I did by the end of my lunch break.","3 - Very nice tile graphics, controls look complicated, but all you really use are 1-8 and the f and g keys.",3 - Running like a madman from the shadow while trying to kill enough get power spheres and power ups is quite fun. Will probably pick this one up after the 7DRL is complete and watch for updates,"2 - Nothing amazingly new, but an innovative little story and the optional real-time shadow is nice. Would have been nice to see more down with the shadow mechanics.","2 - A high 2, largely because the graphics are nice, but this is on the high end of what I expect from 7DRLs.","3 - A low 3, it has procedural generation, permadeath and turn-based mechanics, but the moving shadow and pure-powerups are a bit un-roguelike. Still a 3 though.","A fun game where you dash to the right to escape an ever advancing shadow. The normal mode has the shadow moving each turn and the hardmode has it advance in real time. Overall an awesome coffee break RL. The gameplay is tight and well balanced, the graphics are stellar and story is decent. Only problems I encountered are a modest lack of documentation (weapons and armor, etc), a bug where monsters aren't respawned in a new game, and some of the items really aren't too useful, particularly the mine."
Ascension of the Drillworms,Anonymous,"2 - Stable, but could use a bit of polish to make it a 3.","2 - Monochromatic color scheme, but works well for the setting. Ambient background music is used very well. Could've used a better way to swap between inventory and char screen (i and c are very far apart!). Mouse-only input is handled well, although pathfinding as opposed to single-space-per-click would be an obvious improvement.","3 - It's fun! Takes a bit of time to get to the tough decisions, but once you figure out how to manage energy flow vs. energy consumption, there are some fun tactical choices multiple times per level. ","2 - Power-management subgame makes this different from other roguelikes. Oxygen does not feel forced or tacked-on like some 'food clocks'. Other systems (energy, armor) handled very well.","2 - A strong showing for a 7DRL, fully complete game.",3 - Definitely a roguelike.,"Explore a strange alien landscape as you gather crystals to repair your ship (recurring theme this year?). Don't be put off by the monochromatic display, this game hides a deep power management sub-game: players must manage gadgets, software, and armor suits that all use up power. Power generators are found in the dungeon but are rare and precious. In later levels, almost every new item forces you to re-evaluate and re-optimize your build. Player needs to find oxygen to survive, but this does not feel forced. Multiple damage types add another level of complexity, especially in deeper levels."
Drakefire Chasm,Anonymous,3 - Complete game,"2 - Nice looking and functional UI, could use better feedback for the events","3 - Fun, Challenging and gratifying","2 - Play as a monster, level up on staircase, skills tree",2 - Nicely targetted,"3 - Yes, this is a roguelike","You are a Wyrmling and... You Wanna Be The Wyrm. Bash weaklings and eat them, become older as you pass through the levels. Have fun!"
Escape from the Vault,Anonymous,"2 - Lots of loose ends. Overall the game is fairly complete, but lacking in polish and balance. I maxed out my level about halfway through and most of the monsters repeat heavily.","1 - Decent sprite graphics, but I had to use Crtl and Alt and Shift for no good reason. I understand that the MOA engine is expandable, but damn those are some whacky controls. ","2 - Definitely fun, but way too grindy at the moment. I more or less stumbled over the end and I'm not sure what or how the ending is in anyway connected to anything else.","2 - A low 2, nothing that hasn't been seen before, but the game does a better job of capturing the feel of Wasteland/Fallout then most so it gets a 2","3 - Definitely more that I expected from a 7DRL, though it is based on a pre-existing engine.","3 - Definitely has all the standard RL elements, procedural generation, turn-based, perma-death and inventory management","Escape from the Vault is a game with promise that lack polish. You are an inter-dimensional traveler and you have been captured in a post-apocalyptic dimension. Your mission is to escape from you cell in the heart of a mountain, rescue your faithful pet raptor-dog, find the military base and slay the fiend that is guarding the portal to your home dimension. The game doesn't describe any of this, but that's pretty much what I'm calling it. Decent graphics, horrible controls and a bit longer than it has content for. Hopefully the developer will continue work on this one."
